"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC_03","RANGE_TYPE_LABEL_EN","RANGE_TYPE_LABEL_FR","COOKTOP_TYPE_LABEL_EN","COOKTOP_TYPE_LABEL_FR","OVEN_EQUIP_TYPE_LABEL_EN","OVEN_EQUIP_TYPE_LABEL_FR","OVEN_TYPE_LABEL_EN","OVEN_TYPE_LABEL_FR","OVEN_COOK_METH_LABEL_EN","OVEN_COOK_METH_LABEL_FR","USE_OVEN_SPACE_LOWER","USE_OVEN_SPACE_UPPER","NOMINAL_WIDTH_LABEL_EN","NOMINAL_WIDTH_LABEL_FR"
17965410,"YWFC150M0*","Whirlpool",518,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,89,"30","30"
17965411,"YWFC310S0*","Whirlpool",487,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,89,"30","30"
17965412,"YKERS202B","KitchenAid",592,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
17965413,"YKERS303B","KitchenAid",614,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
17965414,"YKERS306B","KitchenAid",589,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
17965415,"JES1750*","Jenn-Air",639,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,152,"30","30"
17965416,"KSEG950E","KitchenAid",639,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,152,"30","30"
17965417,"YAER5630B","Amana",492,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,89,"30","30"
17965418,"YIES426A","Ikea",518,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,89,"30","30"
17965419,"YKFEG500E","KitchenAid",611,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
17965420,"YKFEG510E","KitchenAid",603,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
17965421,"YKFES530E","KitchenAid",612,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
17965422,"YKSEB900E","KitchenAid",560,"Built-in","Encastré","Smooth top","Surface vitrifiée","Double oven","Four double","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",14,152,"30","30"
