"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC_03","RANGE_TYPE_LABEL_EN","RANGE_TYPE_LABEL_FR","COOKTOP_TYPE_LABEL_EN","COOKTOP_TYPE_LABEL_FR","OVEN_EQUIP_TYPE_LABEL_EN","OVEN_EQUIP_TYPE_LABEL_FR","OVEN_TYPE_LABEL_EN","OVEN_TYPE_LABEL_FR","OVEN_COOK_METH_LABEL_EN","OVEN_COOK_METH_LABEL_FR","USE_OVEN_SPACE_LOWER","USE_OVEN_SPACE_UPPER","NOMINAL_WIDTH_LABEL_EN","NOMINAL_WIDTH_LABEL_FR"
2891558,"YKER507+*#","KitchenAid",540,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",107,56,"30","30"
3472644,"CFSEE24*","DeLonghi",470,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,52,"24","24"
3472713,"YIES350","Ikea",515,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,89,"30","30"
3472716,"JCSP42XXXXX","GE",532.903,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,122,"30","30"
3472717,"JCSP46XXXXX","GE",547.093,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,121,"30","30"
3472718,"PCS905XXXXX","GE",522.513,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,132,"30","30"
3472719,"PCS968XXXXX","GE",569.717,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,130,"30","30"
3472720,"PCB900XXXXX","GE",614.25,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,156,"30","30"
3472721,"PCB909XXXXX","GE",602.127,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,152,"30","30"
3472722,"PCB969XXXXX","GE",592.57,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,152,"30","30"
3472723,"PCB970XXXXX","GE",593.097,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,152,"30","30"
3828404,"JCBP720","GE Allura",494,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
3828405,"JCBP820","GE Allura",534,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,107.5,"30","30"
4026134,"CCRE3530XXX","Frigidaire",505,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
4026135,"CCRE3860XXX","Frigidaire",505,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
4026136,"CCRE3880XXX","Frigidaire",540,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,132,"30","30"
4026137,"CFEF3005XX","Frigidaire",505,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
4026138,"CFEF3007XX","Frigidaire",505,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
4026139,"CFEF3012XX","Frigidaire",526,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
4026140,"CFEF3014XX","Frigidaire",540,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,132,"30","30"
4026141,"CFEF3016XX","Frigidaire",505,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
4026142,"CFEF3018XX","Frigidaire",500,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,127,"30","30"
4026143,"CFEF3019XX","Frigidaire",556,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,146,"30","30"
4026144,"CFEF3020XX","Frigidaire",500,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,127,"30","30"
4026145,"CFEF3022XX","Frigidaire",556,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,146,"30","30"
4026146,"CFEF3046XX","Frigidaire",505,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
4026147,"CFEF3048XX","Frigidaire",500,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,127,"30","30"
4026148,"CFEF3049XX","Frigidaire",556,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,146,"30","30"
4026149,"CFEF3050XX","Frigidaire",500,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,127,"30","30"
4026150,"CFEF3052XX","Frigidaire",556,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,146,"30","30"
4026151,"CFEF3104XX","Frigidaire",540,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,132,"30","30"
4026152,"CGEF3034XX","Frigidaire",582,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,140,"30","30"
4026154,"CWEF311XXX","Frigidaire",505,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
4422655,"JCBS250XXXXX","GE",522,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
4422656,"JCBS280XXXXX","GE",522,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
4422657,"JCBP250XXXXX","GE",465,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
4422658,"JCBP270XXXXX","GE",465,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
4422659,"JCBP240XXXXX","GE",468,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
4422660,"JCBP350XXXXX","GE",526,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,125.3,"30","30"
4422661,"JCBP400XXXXX","GE",506,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,123.5,"30","30"
4422662,"JCBS630XXXXX","GE",521,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
4422663,"JCBS640XXXXX","GE",519,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
4422664,"JCBP620XXXXX","GE",563,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
4422665,"JCBP630XXXXX","GE",563,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
4422666,"JCBP660XXXXX","GE",505,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
4422667,"JCBP670XXXXX","GE",577,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,125.3,"30","30"
4422668,"JCBP780XXXXX","GE",553,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,125.3,"30","30"
4422669,"JCBP790XXXXX","GE",536,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,123.5,"30","30"
4422670,"JCBP800XXXXX","GE",535,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,123.5,"30","30"
4422671,"JCBP810XXXXX","GE",535,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,123.5,"30","30"
4422672,"JCBP840XXXXX","GE",544,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,123.5,"30","30"
4655419,"PRD364JDGC","Thermador",707.6,"Freestanding","Autostable","-","-","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,161.4,"36","36"
4655420,"PRD366JGC","Thermador",707.6,"Freestanding","Autostable","-","-","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,161.4,"36","36"
4655421,"PRD486JDGC","Thermador",516.6,"Freestanding","Autostable","-","-","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",65.6,161.4,"48","48"
4655422,"PRD48JDSGC","Thermador",580.7,"Freestanding","Autostable","-","-","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",34.8,141.8,"48","48"
4911364,"6210","Heartland",517.6,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,77.76,"47","47"
4911365,"8210","Heartland",530.7,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,77.76,"30","30"
5685497,"LSE3090ST","LG",718,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,135.8,"30","30"
5957318,"LSE3092ST","LG",647,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,135.8,"30","30"
6188327,"YWFE710","Whirlpool",598,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
6188328,"YWFE540","Whirlpool",590,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
6202366,"JCBP690XXXXXX","GE",535,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,125.3,"30","30"
6202367,"JCBS650XXXXXX","GE",545,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,103.37,"30","30"
7589504,"NE58F9710**","Samsung",680,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,144,"30","30"
7589505,"NE58F9500**","Samsung",695,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,144,"30","30"
8086240,"JCBS660XXXXX","GE",545,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,103.37,"30","30"
8086241,"JCB530XXXXX","GE",526,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,125.3,"30","30"
8086242,"JCB560XXXXX","GE",506,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,123.5,"30","30"
8086243,"JCB630XXXXX","GE",563,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
8086244,"JCB635XXXXX","GE",563,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
8086245,"JCB730XXXXX","GE",505,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
8086246,"JCB830XXXXX","GE",545,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,123.5,"30","30"
8086247,"JCB840XXXXX","GE",564,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,123.5,"30","30"
8086248,"JCB860XXXXX","GE",564,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,123.5,"30","30"
8086249,"JCB870XXXXX","GE",597,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,123.5,"30","30"
8779111,"CVESC530-4B","Brigade",647,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,116.099,"30","30"
8779112,"CRVER330-5B","Brigade",626,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,114.931,"30","30"
8779114,"OR30SDPWIX*","Fisher & Paykel",346,"Freestanding","Autostable","induction","induction","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,78,"30","30"
8779115,"OR30SDPWSX*","Fisher & Paykel",577,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,78,"30","30"
8779117,"JCSP41XXXXX","GE",533,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,122,"30","30"
8779118,"MCBS525XXXX","Moffat",579,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,99.9,"30","30"
8779119,"PCB905XXXXX","GE",621,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,154,"30","30"
8779120,"JCAP750XXXXX","GE",452,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,60.5,"24","24"
8779121,"JCAP765XXXXX","GE",464,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,60.5,"24","24"
8779122,"JCAP760XXXXX","GE",484,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,60.5,"24","24"
8779123,"JCAS745XXXXX","GE",441,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,60.5,"24","24"
8779124,"JCS630XXXXX","GE",533,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,122,"30","30"
8779125,"JCS860XXXXX","GE",547,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,121,"30","30"
8779126,"PCS940XXXXX","GE",570,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,130,"30","30"
8779127,"PCB910XXXXX","GE",602,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,152,"30","30"
8779128,"PCB940XXXXX","GE",614,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,154,"30","30"
8779129,"PCB980XXXXX","GE",593,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,152,"30","30"
8779219,"970C5031","Kenmore",545,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,83,"30","30"
8779220,"970C5032","Kenmore",505,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
8779221,"970C5033","Kenmore",491,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
8779222,"970C5035","Kenmore",491,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
8779223,"970C5037","Kenmore",540,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,125,"30","30"
8779224,"970C6030","Kenmore",527,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,125,"30","30"
8779225,"970C6032","Kenmore",527,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,136,"30","30"
8779226,"970C6034","Kenmore",556,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,136,"30","30"
8779227,"970C6231","Kenmore",556,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,136,"30","30"
8779228,"970C6233","Kenmore",556,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,136,"30","30"
8779229,"970C6332","Kenmore",544,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,146,"30","30"
8779230,"970C6334","Kenmore",544,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,146,"30","30"
8779231,"970C6531","Kenmore",579,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,146,"30","30"
8779232,"970C6533","Kenmore",579,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,146,"30","30"
8779233,"970C6535","Kenmore",579,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,126,"30","30"
8779234,"970C6537","Kenmore",585,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,138,"30","30"
8779235,"970C6938","Kenmore",579,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,146,"30","30"
8779236,"CGEF3040XX","Frigidaire",505,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,127,"30","30"
8779238,"CMEF3008XXX","Frigidaire",505,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,111,"30","30"
8872599,"YWFE330","Whirlpool",560,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,128,"30","30"
8872600,"YWFE510","Whirlpool",514,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,89,"30","30"
8872601,"YWFE530","Whirlpool",553,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,128,"30","30"
8872602,"YACR3230","Amana",502,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,89,"30","30"
8872604,"YWFC150","Whirlpool",518,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,89,"30","30"
8872605,"YWFC310","Whirlpool",487,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake","Cuisson normale",0,89,"30","30"
8872606,"YKERS202","KitchenAid",592,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
8872607,"YKERS303","KitchenAid",614,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
8872608,"YKERS306","KitchenAid",589,"Freestanding","Autostable","Smooth top","Surface vitrifiée","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,140,"30","30"
8952704,"NE58H9950**","Samsung",680,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,144,"30","30"
8975941,"HEI8054C","Bosch",562,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,105.26,"30","30"
8975942,"HEIP054C","Bosch",571,"Built-in","Encastré","Smooth top","Surface vitrifiée","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,105.26,"30","30"
10300709,"DER241WC","Danby Designer",430,"Freestanding","Autostable","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake","Cuisson normale",0,60.5,"24","24"
10539281,"S9GMXU","Smeg",350,"Built-in","Encastré","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,107.1,"36","36"
10539282,"TRU90BL","Smeg",350,"Built-in","Encastré","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,113.9,"36","36"
10539283,"TRU90P","Smeg",350,"Built-in","Encastré","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,113.9,"36","36"
10539284,"TRU90X","Smeg",350,"Built-in","Encastré","Conventional top","Surface classique","Single oven","Four simple","Non self-cleaning","Non autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,113.9,"36","36"
10990219,"PRD364NLGC","Thermador",433.4,"Freestanding","Autostable","-","-","Single oven","Four simple","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",0,0,"36","36"
10990220,"PRD486NLGC","Thermador",355.2,"Freestanding","Autostable","-","-","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",65.6,161.4,"48","48"
10990221,"PRD484NCGC","Thermador",355.2,"Freestanding","Autostable","-","-","Double oven","Four double","Self-cleaning","Autonettoyant","Normal bake with forced convection","Cuisson normale avec convection forcée",65.6,161.4,"48","48"
