"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","EF","TYPE_LABEL_EN","TYPE_LABEL_FR","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","CAPACITY","DRY_CONTROL_LABEL_EN","DRY_CONTROL_LABEL_FR"
10990173,"8159####","Kenmore",841,1.57,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
11207863,"YNED5800D#**","Amana",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
11207864,"YMEDC555D#**","Maytag",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11207865,"YMEDX6STB#**","Maytag",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11207866,"YWED49STB#**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11207867,"YWED8500D#**","Whirlpool",945,1.4,"Standard","Ordinaire","240 V","240 V",249,"auto moisture","Automatique de l'humidité"
11207868,"YIED4671D#**","Inglis",937,1.41,"Standard","Ordinaire","240 V","240 V",184,"Auto temperature","Automatique de température"
11207869,"YIED4771D#**","Inglis",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
11207870,"YWED8000D#**","Whirlpool",945,1.4,"Standard","Ordinaire","240 V","240 V",249,"auto moisture","Automatique de l'humidité"
11207871,"YWED7300D#**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11207872,"YWED4815E#**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11207873,"YMEDC215E#**","Maytag",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11207874,"YMEDC415E#**","Maytag",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11207875,"YWED4915E#**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11207876,"YNED4655E#**","Amana",937,1.41,"Standard","Ordinaire","240 V","240 V",184,"Auto temperature","Automatique de température"
11207877,"YNED4705E#**","Amana",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
11207878,"YMEDB835D#**","Maytag",938,1.4,"Standard","Ordinaire","240 V","240 V",249,"auto moisture","Automatique de l'humidité"
11207879,"YMEDB855D#**","Maytag",938,1.4,"Standard","Ordinaire","240 V","240 V",249,"auto moisture","Automatique de l'humidité"
11207880,"YMEDB755D#**","Maytag",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
11207881,"YWED83HEDC#**","Whirlpool",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"auto moisture","Automatique de l'humidité"
11207882,"YMEDP475E#**","Maytag",950,1.39,"Standard","Ordinaire","240 V","240 V",212,"auto moisture","Automatique de l'humidité"
11207883,"C6012#51**","Kenmore",937,1.41,"Standard","Ordinaire","240 V","240 V",184,"Auto temperature","Automatique de température"
11207884,"C6024#51**","Kenmore",937,1.41,"Standard","Ordinaire","240 V","240 V",184,"Auto temperature","Automatique de température"
11207885,"C6022#51**","Kenmore",937,1.41,"Standard","Ordinaire","240 V","240 V",184,"Auto temperature","Automatique de température"
11207886,"C6244#51**","Kenmore",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
11207887,"C6233#51**","Kenmore",937,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
