"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","EF","TYPE_LABEL_EN","TYPE_LABEL_FR","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","CAPACITY","DRY_CONTROL_LABEL_EN","DRY_CONTROL_LABEL_FR"
16784467,"HTX20******","Hotpoint",900,1.54,"Standard","Ordinaire","240 V","240 V",175,"Auto temperature","Automatique de température"
16784468,"MTX22E*****","Moffat",900,1.54,"Standard","Ordinaire","240 V","240 V",175,"Auto temperature","Automatique de température"
16784469,"HTX22E*****","Hotpoint",900,1.54,"Standard","Ordinaire","240 V","240 V",175,"Auto temperature","Automatique de température"
16784470,"GTD40E******","GE",900,1.5,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
16784471,"GTD42E******","GE",900,1.5,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
16784472,"GTD45E******","GE",900,1.5,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
17599017,"DLEX4370*","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",209.5,"auto moisture","Automatique de l'humidité"
17599019,"8139#","Kenmore",964,1.37,"Standard","Ordinaire","240 V","240 V",209.5,"auto moisture","Automatique de l'humidité"
17686364,"YWHD5090G**","Whirlpool",180,2.81,"Compact","Compacte","240 V","240 V",121.73,"auto moisture","Automatique de l'humidité"
17686365,"YWHD3090G**","Whirlpool",180,2.81,"Compact","Compacte","240 V","240 V",121.73,"auto moisture","Automatique de l'humidité"
17965393,"8158#","Kenmore",964,1.37,"Standard","Ordinaire","240 V","240 V",209.5,"auto moisture","Automatique de l'humidité"
17965394,"8138#","Kenmore",964,1.37,"Standard","Ordinaire","240 V","240 V",209.5,"auto moisture","Automatique de l'humidité"
17965395,"8118#","Kenmore",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
17965396,"8107#","Kenmore",964,1.37,"Standard","Ordinaire","240 V","240 V",254.9,"auto moisture","Automatique de l'humidité"
17965397,"8128#","Kenmore",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
18063834,"YDE3TRGS171+","Huebsch",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
18063835,"ADE3S***173+","Speed Queen",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
18063836,"ADEE8***173+","Speed Queen",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
18063837,"ADEE9***173+","Speed Queen",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
18063838,"LDE3T***171+","Speed Queen",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
18063839,"LDEE7***173+","Speed Queen",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
18063840,"LDEE7***153+","Speed Queen",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
18063841,"LDEE5***173+","Speed Queen",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
18063842,"LSEE5***283+","Speed Queen",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
18063843,"LSEE5***293+","Speed Queen",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"auto moisture","Automatique de l'humidité"
19376776,"YMEDB765F**","Maytag",937,1.41,"Standard","Ordinaire","240 V","240 V",210,"Auto temperature","Automatique de température"
19376825,"DLE7200*E","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
19376827,"8196#","Kenmore",964,1.37,"Standard","Ordinaire","240 V","240 V",254.9,"auto moisture","Automatique de l'humidité"
19382805,"EFDC317****","Electrolux",895,1.39,"Standard","Ordinaire","240 V","240 V",227.5,"auto moisture","Automatique de l'humidité"
19453728,"DLE7200*","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
19453730,"DLEY1901*E","LG",964,1.37,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
19453731,"DLHX4372*","LG",841,1.57,"Standard","Ordinaire","240 V","240 V",206.7,"auto moisture","Automatique de l'humidité"
19453802,"CFRE4120***","Frigidaire",936,1.41,"Standard","Ordinaire","240 V","240 V",190,"auto moisture","Automatique de l'humidité"
