"REC_REF_KEY","BRAND_NAME","MODEL_NUM_1","MOD_J1_AEC","TYPE_LABEL_EN","TYPE_LABEL_FR","AVG_L_PER_CYCLE","PROD_CLASS_LABEL_EN","PROD_CLASS_LABEL_FR","PAYMENT_MECH_LABEL_EN","PAYMENT_MECH_LABEL_FR","CAPACITY","MAX_WASH_TEMP_AVAIL_LABEL_EN","MAX_WASH_TEMP_AVAIL_LABEL_FR","WATER_LEVELS_CONTROL_LABEL_EN","WATER_LEVELS_CONTROL_LABEL_FR","MOD_J1_EF_LIT","WATER_CON_FACTOR","ANNUAL_WATER_CON_L"
17080890,"Huebsch","HWNS*2PP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.51,1.14,41247.024
17080891,"Huebsch","HWNS*2SP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.51,1.14,41247.024
17080892,"Huebsch","HWNM*2PP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.51,1.14,41247.024
17080893,"Huebsch","HWNM*2SP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.51,1.14,41247.024
17080894,"Huebsch","HWNB*2PP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.1,1.14,41247.024
17080895,"Huebsch","HWNB*2SP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.1,1.14,41247.024
17080896,"IPSO","BWNS*2PP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.51,1.14,41247.024
17080897,"IPSO","BWNM*2PP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.51,1.14,41247.024
17080898,"IPSO","BWNB*2PP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.1,1.14,41247.024
17080899,"Primus","PWNB*2PP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.1,1.14,41247.024
17080900,"Unimac","UWNM*2SP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.51,1.14,41247.024
17080901,"Econ-O-Wash","KWNS*2PP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.51,1.14,41247.024
17080902,"Econ-O-Wash","KWNM*2PP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.51,1.14,41247.024
17080903,"Huebsch","HFND*ASP113+",66,"Front-loading standard","Ordinaire à chargement frontal",46.464,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",78.16,0.48,18213.888
17080904,"Huebsch","HFND*AJP113+",66,"Front-loading standard","Ordinaire à chargement frontal",46.464,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",78.16,0.48,18213.888
17080905,"Huebsch","HFND*ASG113+",66,"Front-loading standard","Ordinaire à chargement frontal",46.464,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",78.16,0.48,18213.888
17081000,"Huebsch","HWNB*2PP112+",250,"Top-loading standard","Ordinaire à chargement par le haut",103.376,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",49.56,1.12,40523.392
17081001,"Huebsch","HWNM*2PP112+",259,"Top-loading standard","Ordinaire à chargement par le haut",103.376,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",46.73,1.12,40523.392
17081002,"Huebsch","HWNS*2PP112+",259,"Top-loading standard","Ordinaire à chargement par le haut",103.376,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",46.73,1.12,40523.392
17081003,"GE","GTW220BMK***",250,"Top-loading standard","Ordinaire à chargement par le haut",95.965,"Household","Résidentiel","-","-",109.3,"No","Non","Manual","Manuel",55.8,0.878,37618.28
17081004,"Hotpoint","HTW220BMK***",250,"Top-loading standard","Ordinaire à chargement par le haut",95.965,"Household","Résidentiel","-","-",109.3,"No","Non","Manual","Manuel",55.8,0.878,37618.28
17081005,"Moffat","MTW200BMK***",250,"Top-loading standard","Ordinaire à chargement par le haut",95.965,"Household","Résidentiel","-","-",109.3,"No","Non","Manual","Manuel",55.8,0.878,37618.28
17081006,"GE","GTW330BMK***",250,"Top-loading standard","Ordinaire à chargement par le haut",95.965,"Household","Résidentiel","-","-",109.3,"No","Non","Manual","Manuel",55.8,0.878,37618.28
17081007,"GE","GTW460BMK***",360,"Top-loading standard","Ordinaire à chargement par le haut",101.082,"Household","Résidentiel","-","-",119.2,"No","Non","Manual or adaptive","Manuel ou adaptif",52.5,0.848,39624.144
17081008,"GE","GTW465BMK***",360,"Top-loading standard","Ordinaire à chargement par le haut",101.082,"Household","Résidentiel","-","-",119.2,"No","Non","Manual or adaptive","Manuel ou adaptif",52.5,0.848,39624.144
17081009,"GE","GTW485BMK***",200,"Top-loading standard","Ordinaire à chargement par le haut",104.658,"Household","Résidentiel","-","-",119.2,"No","Non","Adaptive","Adaptif",70.8,0.878,41025.936
17081010,"GE","GTW680BMK***",215,"Top-loading standard","Ordinaire à chargement par le haut",59.423,"Household","Résidentiel","-","-",130.6,"No","Non","Adaptive","Adaptif",70.4,0.455,23293.816
17137274,"LG","WM3270C*",120,"Front-loading standard","Ordinaire à chargement frontal",54.228,"Household","Résidentiel","-","-",126.7,"No","Non","Adaptive","Adaptif",82.685,0.428,21257.376
17137275,"LG","WM3275C*",120,"Front-loading standard","Ordinaire à chargement frontal",54.228,"Household","Résidentiel","-","-",126.7,"No","Non","Adaptive","Adaptif",82.685,0.428,21257.376
17313177,"Maytag","MVWC416F**",344,"Top-loading standard","Ordinaire à chargement par le haut",114.479,"Household","Résidentiel","-","-",101.94,"No","Non","Manual or adaptive","Manuel ou adaptif",36.53,1.123,44875.768
17313178,"Kenmore","2224*51*",344,"Top-loading standard","Ordinaire à chargement par le haut",114.479,"Household","Résidentiel","-","-",101.94,"No","Non","Manual or adaptive","Manuel ou adaptif",36.53,1.123,44875.768
17599004,"Maytag","MVWB765F**",473,"Top-loading standard","Ordinaire à chargement par le haut",147.877,"Household","Résidentiel","-","-",131.68,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.123,57967.784
17599005,"Maytag","MVWB766F**",473,"Top-loading standard","Ordinaire à chargement par le haut",147.877,"Household","Résidentiel","-","-",131.68,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.123,57967.784
17599008,"Kenmore","2253*51*",274,"Top-loading standard","Ordinaire à chargement par le haut",111.615,"Household","Résidentiel","-","-",99.39,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.123,43753.08
17687781,"Speed Queen","AWN432SP113**04",137,"Top-loading standard","Ordinaire à chargement par le haut",82.062,"Household","Résidentiel","-","-",91.18,"No","Non","Manual","Manuel",55.01,0.9,32168.304
17687782,"Speed Queen","AWNE82SP113+",133,"Top-loading standard","Ordinaire à chargement par le haut",102.122,"Household","Résidentiel","-","-",91.18,"No","Non","Manual","Manuel",53.36,1.12,40031.824
17687783,"Speed Queen","AFNE9BSP113+",90,"Front-loading standard","Ordinaire à chargement frontal",48.4,"Household","Résidentiel","-","-",96.8,"No","Non","Adaptive","Adaptif",82.29,0.5,18972.8
17687784,"Speed Queen","LWN432SP113**04",137,"Top-loading standard","Ordinaire à chargement par le haut",82.062,"Household","Résidentiel","-","-",91.18,"No","Non","Manual","Manuel",55.01,0.9,32168.304
17687785,"Speed Queen","LWNE52SP113+",133,"Top-loading standard","Ordinaire à chargement par le haut",102.122,"Household","Résidentiel","-","-",91.18,"No","Non","Manual","Manuel",53.36,1.12,40031.824
17687786,"Speed Queen","LFNE5BJP113+",90,"Front-loading standard","Ordinaire à chargement frontal",48.4,"Household","Résidentiel","-","-",96.8,"No","Non","Adaptive","Adaptif",82.29,0.5,18972.8
17687787,"Speed Queen","LFNE5BSP113+",90,"Front-loading standard","Ordinaire à chargement frontal",48.4,"Household","Résidentiel","-","-",96.8,"No","Non","Adaptive","Adaptif",82.29,0.5,18972.8
17687788,"Speed Queen","LFNE5RSP113+",90,"Front-loading standard","Ordinaire à chargement frontal",48.4,"Household","Résidentiel","-","-",96.8,"No","Non","Adaptive","Adaptif",82.29,0.5,18972.8
17687789,"Speed Queen","SWNN*2SP113+",217,"Top-loading standard","Ordinaire à chargement par le haut",97.838,"Commercial","Commerciale","-","-",92.3,"No","Non","Manual","Manuel",47.89,1.06,38352.496
17687790,"Speed Queen","SWNM*2SP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.51,1.14,41247.024
17687791,"Speed Queen","SWNS*2SP113+",238,"Top-loading standard","Ordinaire à chargement par le haut",105.222,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",45.51,1.14,41247.024
17687792,"Speed Queen","SWNN*2HP113**15",190,"Top-loading standard","Ordinaire à chargement par le haut",72.248,"Commercial","Commerciale","-","-",82.1,"No","Non","Manual","Manuel",45.45,0.88,28321.216
17687793,"Speed Queen","SWNN*2HP113**04",190,"Top-loading standard","Ordinaire à chargement par le haut",72.248,"Commercial","Commerciale","-","-",82.1,"No","Non","Manual","Manuel",45.45,0.88,28321.216
17687794,"Speed Queen","SFNN*ASP113+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
17687795,"Speed Queen","SFNN*AJP113+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
17687796,"Speed Queen","SFNN*RSP113+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
17687797,"Speed Queen","SFNS*RSP113+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
17687798,"Speed Queen","SWNS*2SP112+",259,"Top-loading standard","Ordinaire à chargement par le haut",103.376,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",46.73,1.12,40523.392
17687799,"Speed Queen","SWNM*2SP112+",259,"Top-loading standard","Ordinaire à chargement par le haut",103.376,"Commercial","Commerciale","-","-",92.3,"No","Non","Adaptive","Adaptif",46.73,1.12,40523.392
17687800,"LG","GCWF1069**#",130,"Front-loading standard","Ordinaire à chargement frontal",52.252,"Commercial","Commerciale","-","-",105.56,"No","Non","Adaptive","Adaptif",84.951,0.495,20482.784
17692801,"Whirlpool","WGLTV27F**",182,"Top-loading standard","Ordinaire à chargement par le haut",78.227,"Household","Résidentiel","-","-",69.659,"No","Non","Adaptive","Adaptif",35.68,1.123,30664.984
17788848,"Danby","DWM045WDB",157,"Front-loading compact","Compacte à chargement frontal",62.52,"Household","Résidentiel","-","-",41.68,"Yes","Oui","Adaptive","Adaptif",40,1.5,24507.84
17967583,"Avanti","TLW16D0W",290,"Top-loading standard","Ordinaire à chargement par le haut",52.059,"Household","Résidentiel","-","-",46.07,"No","Non","Manual","Manuel",38,1.13,20407.128
17967584,"Avanti","TLW21D2P",330,"Top-loading standard","Ordinaire à chargement par le haut",64.862,"Household","Résidentiel","-","-",57.4,"No","Non","Manual","Manuel",40,1.13,25425.904
17967585,"Whirlpool","WFW5090G**",67,"Front-loading standard","Ordinaire à chargement frontal",32.799,"Household","Résidentiel","-","-",66.26,"No","Non","Adaptive","Adaptif",56.635,0.495,12857.208
19248094,"Crosley","CFWH4084G**",113,"Front-loading standard","Ordinaire à chargement frontal",94.7,"Household","Résidentiel","-","-",118.08,"No","Non","Adaptive","Adaptif",56.635,0.802,37122.4
19248438,"LG","WT7200C*",175,"Top-loading standard","Ordinaire à chargement par le haut",70.374,"Household","Résidentiel","-","-",142.17,"No","Non","Adaptive","Adaptif",67.394,0.495,27586.608
19248439,"LG","WM5005H*A",135,"Front-loading standard","Ordinaire à chargement frontal",53.932,"Household","Résidentiel","-","-",126.01,"Yes","Oui","Adaptive","Adaptif",82.685,0.428,21141.344
19248440,"LG","WM3085C*",120,"Front-loading standard","Ordinaire à chargement frontal",54.228,"Household","Résidentiel","-","-",126.7,"No","Non","Adaptive","Adaptif",82.685,0.428,21257.376
19248441,"LG","WT1901C*",175,"Top-loading standard","Ordinaire à chargement par le haut",70.374,"Household","Résidentiel","-","-",142.17,"No","Non","Adaptive","Adaptif",67.394,0.495,27586.608
19376789,"Crosley","CAW42114G**",374,"Top-loading standard","Ordinaire à chargement par le haut",149.238,"Household","Résidentiel","-","-",117.51,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.27,58501.296
19376790,"Crosley","CAW35114G**",284,"Top-loading standard","Ordinaire à chargement par le haut",125.857,"Household","Résidentiel","-","-",99.1,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.27,49335.944
19376791,"Conservator","VAW3584G**",277,"Top-loading standard","Ordinaire à chargement par le haut",124.778,"Household","Résidentiel","-","-",98.25,"No","Non","Manual or adaptive","Manuel ou adaptif",35.68,1.27,48912.976
19376874,"Kenmore","4198#",170,"Front-loading standard","Ordinaire à chargement frontal",62.788,"Household","Résidentiel","-","-",146.7,"Yes","Oui","Adaptive","Adaptif",78.154,0.428,24612.896
19376889,"Blomberg","WM77120NBL01",67,"Front-loading standard","Ordinaire à chargement frontal",25.953,"Household","Résidentiel","-","-",55.22,"Yes","Oui","Adaptive","Adaptif",59.75,0.47,10173.576
19382806,"Electrolux","EFLW317****",80,"Front-loading standard","Ordinaire à chargement frontal",59.339,"Household","Résidentiel","-","-",121.1,"No","Non","Adaptive","Adaptif",80.1,0.49,23260.888
19453781,"LG","LUWD1C*",50,"Top-loading compact","Compacte à chargement par le haut",37.076,"Household","Résidentiel","-","-",19.26,"No","Non","Adaptive","Adaptif",24.352,1.925,14533.792
19453803,"Frigidaire","FFTW4120***",135,"Top-loading standard","Ordinaire à chargement par le haut",100.224,"Household","Résidentiel","-","-",115.2,"No","Non","Adaptive","Adaptif",44.46,0.87,39287.808
19725664,"Kenmore","2023*71*",255,"Top-loading standard","Ordinaire à chargement par le haut",125.146,"Household","Résidentiel","-","-",98.54,"No","Non","Adaptive","Adaptif",35.68,1.27,49057.232
