"REC_REF_KEY","BRAND_NAME","MODEL_NUM_1","MOD_J1_AEC","TYPE_LABEL_EN","TYPE_LABEL_FR","AVG_L_PER_CYCLE","PROD_CLASS_LABEL_EN","PROD_CLASS_LABEL_FR","PAYMENT_MECH_LABEL_EN","PAYMENT_MECH_LABEL_FR","CAPACITY","MAX_WASH_TEMP_AVAIL_LABEL_EN","MAX_WASH_TEMP_AVAIL_LABEL_FR","WATER_LEVELS_CONTROL_LABEL_EN","WATER_LEVELS_CONTROL_LABEL_FR","MOD_J1_EF_LIT","WATER_CON_FACTOR","ANNUAL_WATER_CON_L"
14982109,"Whirlpool","WFW7590F**",63,"Front-loading standard","Ordinaire à chargement frontal",94.7,"Household","Résidentiel","-","-",118.08,"No","Non","Adaptive","Adaptif",56.635,0.802,37122.4
15198694,"Electrolux","EWFLS70****",143,"Front-loading standard","Ordinaire à chargement frontal",61.4,"Household","Résidentiel","-","-",122.8,"Yes","Oui","Adaptive","Adaptif",74.96,0.5,24068.8
15198695,"Primus","PFNE3BJP113+",90,"Front-loading standard","Ordinaire à chargement frontal",48.4,"Household","Résidentiel","-","-",96.8,"No","Non","Adaptive","Adaptif",82.29,0.5,18972.8
15198696,"Primus","PFNE3RSP113+",90,"Front-loading standard","Ordinaire à chargement frontal",48.4,"Household","Résidentiel","-","-",96.8,"No","Non","Adaptive","Adaptif",82.29,0.5,18972.8
15198697,"Huebsch","ZWN432SP113**04",137,"Top-loading standard","Ordinaire à chargement par le haut",81.99,"Household","Résidentiel","-","-",91.1,"No","Non","Manual","Manuel",55.01,0.9,32140.08
15198698,"Huebsch","YWN432SP113**04",137,"Top-loading standard","Ordinaire à chargement par le haut",81.99,"Household","Résidentiel","-","-",91.1,"No","Non","Manual","Manuel",55.01,0.9,32140.08
15198699,"EuroDesign","DWN432SP113**04",137,"Top-loading standard","Ordinaire à chargement par le haut",81.99,"Household","Résidentiel","-","-",91.1,"No","Non","Manual","Manuel",55.01,0.9,32140.08
15198700,"Primus","PWNE32PP113+",133,"Top-loading standard","Ordinaire à chargement par le haut",102.032,"Household","Résidentiel","-","-",91.1,"No","Non","Manual","Manuel",53.36,1.12,39996.544
15198701,"IPSO","BFNB*ASG113+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
15198702,"Huebsch","HFNK*ASG113+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
15198703,"Huebsch","HFNK*ASP113+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
15198704,"Huebsch","HFNN*BSP113+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
15198705,"Primus","PFNJXASG114+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
15198706,"Primus","PFNJXASP114+",68,"Front-loading standard","Ordinaire à chargement frontal",50.336,"Commercial","Commerciale","-","-",96.8,"No","Non","Adaptive","Adaptif",84.48,0.52,19731.712
15198707,"Primus","PWNB*2PP112+",250,"Top-loading standard","Ordinaire à chargement par le haut",103.376,"Commercial","Commerciale","-","-",92.3,"No","Non","Manual","Manuel",49.56,1.12,40523.392
15198708,"Whirlpool","WFW75HEF**",88,"Front-loading standard","Ordinaire à chargement frontal",101.285,"Household","Résidentiel","-","-",126.29,"No","Non","Adaptive","Adaptif",56.635,0.802,39703.72
15198709,"Whirlpool","WFW7540F**",88,"Front-loading standard","Ordinaire à chargement frontal",101.285,"Household","Résidentiel","-","-",126.29,"No","Non","Adaptive","Adaptif",56.635,0.802,39703.72
15198710,"Samsung","WA52J870*A*",214,"Top-loading standard","Ordinaire à chargement par le haut",72.118,"Household","Résidentiel","-","-",147.18,"Yes","Oui","Adaptive","Adaptif",75.08,0.49,28270.256
15198711,"GE","WW22K680*A*",119,"Front-loading standard","Ordinaire à chargement frontal",32.13,"Household","Résidentiel","-","-",63,"Yes","Oui","Adaptive","Adaptif",80.79,0.51,12594.96
15198712,"Samsung","WA50K86**A*",154,"Top-loading standard","Ordinaire à chargement par le haut",70.364,"Household","Résidentiel","-","-",143.6,"Yes","Oui","Adaptive","Adaptif",77.9,0.49,27582.688
15198713,"Fisher & Paykel","WL4027G*",122,"Top-loading standard","Ordinaire à chargement par le haut",56,"Household","Résidentiel","-","-",112,"Yes","Oui","Adaptive","Adaptif",59.79,0.5,21952
15198714,"Maytag","MHW5500F**",89,"Front-loading standard","Ordinaire à chargement frontal",101.285,"Household","Résidentiel","-","-",126.29,"Yes","Oui","Adaptive","Adaptif",56.635,0.802,39703.72
15198715,"Maytag","MHW8200F**",89,"Front-loading standard","Ordinaire à chargement frontal",101.285,"Household","Résidentiel","-","-",126.29,"Yes","Oui","Adaptive","Adaptif",56.635,0.802,39703.72
15198716,"Maytag","MHW3505F**",88,"Front-loading standard","Ordinaire à chargement frontal",99.015,"Household","Résidentiel","-","-",123.46,"No","Non","Adaptive","Adaptif",56.635,0.802,38813.88
15198717,"Whirlpool","WFW90HEF**",89,"Front-loading standard","Ordinaire à chargement frontal",101.285,"Household","Résidentiel","-","-",126.29,"No","Non","Adaptive","Adaptif",56.635,0.802,39703.72
15198718,"Whirlpool","WFW92HEF**",89,"Front-loading standard","Ordinaire à chargement frontal",101.285,"Household","Résidentiel","-","-",126.29,"No","Non","Adaptive","Adaptif",56.635,0.802,39703.72
15198719,"Maytag","MHW3500F**",87,"Front-loading standard","Ordinaire à chargement frontal",101.285,"Household","Résidentiel","-","-",126.29,"No","Non","Adaptive","Adaptif",56.635,0.802,39703.72
15198720,"LG","WD205C*",80,"Top-loading compact","Compacte à chargement par le haut",54.247,"Household","Résidentiel","-","-",28.18,"No","Non","Adaptive","Adaptif",24.352,1.925,21264.824
15297758,"Huebsch","HWNN*2AP113**04",190,"Top-loading standard","Ordinaire à chargement par le haut",72.248,"Commercial","Commerciale","-","-",82.1,"No","Non","Manual","Manuel",45.45,0.88,28321.216
15297759,"Huebsch","HWNN*2AP113**17",190,"Top-loading standard","Ordinaire à chargement par le haut",72.248,"Commercial","Commerciale","-","-",82.1,"No","Non","Manual","Manuel",45.45,0.88,28321.216
15297760,"Huebsch","HWNN*2HP113**04",190,"Top-loading standard","Ordinaire à chargement par le haut",72.248,"Commercial","Commerciale","-","-",82.1,"No","Non","Manual","Manuel",45.45,0.88,28321.216
15297829,"Kenmore","3163*61*",385,"Top-loading standard","Ordinaire à chargement par le haut",100.458,"Household","Résidentiel","-","-",174.71,"No","Non","Adaptive","Adaptif",56.635,0.575,39379.536
15799279,"LG","WT7600H*A",175,"Top-loading standard","Ordinaire à chargement par le haut",72.399,"Household","Résidentiel","-","-",146.26,"Yes","Oui","Adaptive","Adaptif",67.394,0.495,28380.408
15799280,"LG","WT7500C*",175,"Top-loading standard","Ordinaire à chargement par le haut",72.216,"Household","Résidentiel","-","-",145.89,"No","Non","Adaptive","Adaptif",67.394,0.495,28308.672
15799281,"LG","WM3575C*",120,"Front-loading standard","Ordinaire à chargement frontal",54.45,"Household","Résidentiel","-","-",127.22,"No","Non","Adaptive","Adaptif",82.685,0.428,21344.4
15799282,"Kenmore","3142#",155,"Top-loading standard","Ordinaire à chargement par le haut",64.275,"Household","Résidentiel","-","-",137.34,"No","Non","Adaptive","Adaptif",78.154,0.468,25195.8
15799283,"Kenmore","3146#",185,"Top-loading standard","Ordinaire à chargement par le haut",70.364,"Household","Résidentiel","-","-",142.15,"Yes","Oui","Adaptive","Adaptif",67.394,0.495,27582.688
15799284,"Kenmore","5197#",80,"Top-loading compact","Compacte à chargement par le haut",54.247,"Household","Résidentiel","-","-",28.18,"No","Non","Adaptive","Adaptif",24.352,1.925,21264.824
