"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","TYPE_LABEL_EN","TYPE_LABEL_FR","EG_WEB_DEFROST_LABEL_EN","EG_WEB_DEFROST_LABEL_FR","EG_WEB_FREEZER_LOC_LABEL_EN","EG_WEB_FREEZER_LOC_LABEL_FR","TOTAL_VOL_LIT","TOTAL_VOL_CUB","SIZE_CATEGORY","EG_WEB_TTD_ICE_LABEL_EN","EG_WEB_TTD_ICE_LABEL_FR","FRESH_VOL_LIT","FRESH_VOL_CUB","FREEZER_VOL_LIT","FREEZER_VOL_CUB"
15272179,"AR4446B","Avanti",269,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",124,4.4,1,"No","Non",124,4.4,0,0
15272180,"AR4456SS","Avanti",269,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",124,4.4,1,"No","Non",124,4.4,0,0
15272181,"RM3306W","Avanti",220,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",93,3.3,1,"No","Non",93,3.3,0,0
15272182,"RM3316B","Avanti",220,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",93,3.3,1,"No","Non",93,3.3,0,0
15272183,"RM3326PS","Avanti",220,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",93,3.3,1,"No","Non",93,3.3,0,0
15272184,"RM3336SS","Avanti",220,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",93,3.3,1,"No","Non",93,3.3,0,0
15272185,"FFBM102D0W","Avanti",370,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",289,10.2,4,"No","Non",202,7.1,87,3.1
15272186,"FFBM102D3S","Avanti",370,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",289,10.2,4,"No","Non",202,7.1,87,3.1
15272197,"FFWC34L2SB","Frigidaire",300,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",95,3.4,1,"-","-",95,3.4,0,0
15272198,"FGWC46L3SS","Frigidaire",328,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",144,5.1,2,"-","-",144,5.1,0,0
15272199,"FGWC4633SS","Frigidaire",328,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",144,5.1,2,"-","-",144,5.1,0,0
15297883,"EI32AR80SS*","Electrolux",340,"Refrigerator","Réfrigérateur","Automatic","Automatique","No freezer","Sans congélateur",526,18.58,9,"No","Non",526,18.58,0,0
15297884,"WWVU21F4SC*","White-Westinghouse",354,"Refrigerator","Réfrigérateur","Automatic","Automatique","No freezer","Sans congélateur",581,20.53,10,"No","Non",581,20.53,0,0
15799265,"RF28K9070**","Samsung",580,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",795.702,28.1,13,"Yes","Oui",470.059,16.6,325.643,11.5
15799268,"NS-RTM18SS7-C","Insignia",362,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",511.6,18.1,8,"No","Non",396.6,14,115,4.1
15799269,"NS-RTM18SS7","Insignia",362,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",511.6,18.1,8,"No","Non",396.6,14,115,4.1
15799270,"NS-RTM12SS7-C","Insignia",311,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",325.1,11.5,5,"No","Non",236.7,8.4,88.4,3.1
15799271,"NS-RTM12SS7","Insignia",311,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",325.1,11.5,5,"No","Non",236.7,8.4,88.4,3.1
15799272,"NS-RTM10WH7-C","Insignia",296,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",280.1,9.9,4,"No","Non",205.1,7.2,75,2.7
15799273,"NS-RTM10WH7","Insignia",296,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",280.1,9.9,4,"No","Non",205.1,7.2,75,2.7
15799274,"NS-RTM21WH7-C","Insignia",396,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.2,21,10,"No","Non",424.4,15,170.8,6
15799275,"NS-RTM21WH7","Insignia",396,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",595.2,21,10,"No","Non",424.4,15,170.8,6
15799276,"NS-RTM18WH7-C","Insignia",401,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",511.6,18.1,8,"No","Non",396.6,14,115,4.1
15799277,"NS-RTM18WH7","Insignia",362,"Refrigerator","Réfrigérateur","Automatic","Automatique","Top","En haut",511.6,18.1,8,"No","Non",396.6,14,115,4.1
15799550,"RL44D6AWE","Hisense",268,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",119,4.2,1,"No","Non",119.1,4.21,0,0
15799551,"RL44D6ABE","Hisense",268,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",119,4.2,1,"No","Non",119.1,4.21,0,0
15799552,"RL44D6AAE","Hisense",268,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",119,4.2,1,"No","Non",119.1,4.21,0,0
15799553,"RL44D6ASE","Hisense",268,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",119,4.2,1,"No","Non",119.1,4.21,0,0
15799554,"RR53D6ASE","Hisense",273,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","Inside","À l'intérieur",151,5.3,2,"No","Non",128.1,4.52,22.4,0.79
15799555,"RR53D6ARE","Hisense",273,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","Inside","À l'intérieur",151,5.3,2,"No","Non",128.1,4.52,22.4,0.79
15799556,"RR53D6AWE","Hisense",273,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","Inside","À l'intérieur",151,5.3,2,"No","Non",128.1,4.52,22.4,0.79
15799557,"RR53D6AAE","Hisense",273,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","Inside","À l'intérieur",151,5.3,2,"No","Non",128.1,4.52,22.4,0.79
15799558,"RR63D6ASE","Hisense",281,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","Inside","À l'intérieur",177,6.3,2,"No","Non",154.8,5.47,22.2,0.78
15799559,"RR63D6ARE","Hisense",281,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","Inside","À l'intérieur",177,6.3,2,"No","Non",154.8,5.47,22.2,0.78
15799560,"RR63D6AWE","Hisense",281,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","Inside","À l'intérieur",177,6.3,2,"No","Non",154.8,5.47,22.2,0.78
15799561,"RR63D6AAE","Hisense",281,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","Inside","À l'intérieur",177,6.3,2,"No","Non",154.8,5.47,22.2,0.78
15799562,"RC07N1CBD1","Hisense",324,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",202.2,7.1,3,"No","Non",202.2,7.14,0,0
15799563,"DBC031D4*","Silhouette Professional",180,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",87,3.1,1,"-","-",86.6,3.06,0,0
15799564,"DBC056D4*","Silhouette Professional",198,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",158,5.6,2,"-","-",157.8,5.57,0,0
15799565,"SSBC056D3*","Silhouette Select",198,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",158,5.6,2,"-","-",157.8,5.57,0,0
15799566,"FR-028RCN*","Daewoo",210,"Compact refrigerator","Réfrigérateur compact","Manual","Non automatique","No freezer","Sans congélateur",79.4,2.8,1,"No","Non",79.4,2.8,0,0
15799567,"FR-044RCN*","Daewoo",215,"Refrigerator","Réfrigérateur","Manual","Non automatique","No freezer","Sans congélateur",123.9,4.38,1,"No","Non",123.9,4.38,0,0
15799568,"7249#","Kenmore",533,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",756.1,26.7,13,"Yes","Oui",506.9,17.9,249.2,8.8
15799569,"7315#","Kenmore",553,"Refrigerator","Réfrigérateur","Automatic","Automatique","Bottom","En bas",812.8,28.7,14,"Yes","Oui",532.4,18.8,280.4,9.9
