"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","TYPE_LABEL_EN","TYPE_LABEL_FR","EG_WEB_DEFROST_LABEL_EN","EG_WEB_DEFROST_LABEL_FR","EG_WEB_FREEZER_LOC_LABEL_EN","EG_WEB_FREEZER_LOC_LABEL_FR","TOTAL_VOL_LIT","TOTAL_VOL_CUB","SIZE_CATEGORY","EG_WEB_TTD_ICE_LABEL_EN","EG_WEB_TTD_ICE_LABEL_FR","FRESH_VOL_LIT","FRESH_VOL_CUB","FREEZER_VOL_LIT","FREEZER_VOL_CUB"
16304492,"U-3018RGLS-00B","U-Line",260,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",96.27,3.4,1,"No","Non",96.27,3.4,0,0
16304493,"U-3018RGLS-13B","U-Line",260,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",96.27,3.4,1,"No","Non",96.27,3.4,0,0
16304494,"U-3018RGLS-15B","U-Line",260,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",96.27,3.4,1,"No","Non",96.27,3.4,0,0
16304495,"U-3018RINT-00B","U-Line",230,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",96.27,3.4,1,"No","Non",96.27,3.4,0,0
16304496,"U-3018RS-00B","U-Line",230,"Compact refrigerator","Réfrigérateur compact","Automatic","Automatique","No freezer","Sans congélateur",96.27,3.4,1,"No","Non",96.27,3.4,0,0
16304497,"U-3018WCINT-00B","U-Line",240,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",96.27,3.4,1,"-","-",96.27,3.4,0,0
16304498,"U-3018WCINT-60B","U-Line",240,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",96.27,3.4,1,"-","-",96.27,3.4,0,0
16304499,"U-3018WCS-00B","U-Line",240,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",96.27,3.4,1,"-","-",96.27,3.4,0,0
16304500,"U-3018WCS-13B","U-Line",240,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",96.27,3.4,1,"-","-",96.27,3.4,0,0
16304501,"U-3018WCS-15B","U-Line",240,"Celliers domestiques","Celliers domestiques","Automatic","Automatique","-","-",96.27,3.4,1,"-","-",96.27,3.4,0,0
